X,pre1,pre2,level,post
~Q^T^R^V^Y,[^[^[^[^[~Q]T]R]V]Y],^ ^ ^ ^ ~ Q T R V Y ,^ ^ Y ^ V ? ? ^ R ? ? ? ? ~ T ? ? ? ? ? ? Q ? ? ? ? ? ? ? ? ? ,Q ~ T ^ R ^ V ^ Y ^ 
~Q-T-T-Y^O,[-[~Q][-T[-T[^YO]]]],- ~ Q - T - T ^ Y O ,- ~ - Q ? T - ? ? ? ? ? T ^ ? ? ? ? ? ? ? Y O ,Q ~ T T Y O ^ - - - 
Y-~Z-~T|N^~K,[-Y[-[~Z][|[~T][^N[~K]]]]],- Y - ~ Z | ~ T ^ N ~ K ,- Y - ? ? ~ | ? ? Z ? ~ ^ ? ? ? ? ? T ? N ~ ? ? ? ? ? ? ? ? ? ? K ? ,Y Z ~ T ~ N K ~ ^ | - - 
F^P-~S,[-[^FP][~S]],- ^ F P ~ S ,- ^ ~ F P S ? ,F P ^ S ~ - 
U|~C-~K|~T|Z,[-[|U[~C]][|[|[~K][~T]]Z]],- | U ~ C | | ~ K ~ T Z ,- | | U ~ | Z ? ? C ? ~ ~ ? ? ? ? ? ? ? K ? T ? ? ? ,U C ~ | K ~ T ~ | Z | - 
V-Z^~J^E-W,[-V[-[^[^Z[~J]]E]W]],- V - ^ ^ Z ~ J E W ,- V - ? ? ^ W ? ? ^ E ? ? ? ? Z ~ ? ? ? ? ? ? ? ? J ? ? ? ? ? ,V Z J ~ ^ E ^ W - - 
H|L-~B^T,[-[|HL][^[~B]T]],- | H L ^ ~ B T ,- | ^ H L ~ T ? ? ? ? B ? ? ? ,H L | B ~ T ^ - 
L-A|N,[-L[|AN]],- L | A N ,- L | ? ? A N ,L A N | - 
~E|H-~M,[-[|[~E]H][~M]],- | ~ E H ~ M ,- | ~ ~ H M ? E ? ? ? ? ? ? ,E ~ H | M ~ - 
~M-~B^D-Q^~C,[-[~M][-[^[~B]D][^Q[~C]]]],- ~ M - ^ ~ B D ^ Q ~ C ,- ~ - M ? ^ ^ ? ? ? ~ D Q ~ ? ? ? B ? ? ? ? ? C ? ,M ~ B ~ D ^ Q C ~ ^ - - 
~H|~Q|A,[|[|[~H][~Q]]A],| | ~ H ~ Q A ,| | A ~ ~ ? ? H ? Q ? ? ? ,H ~ Q ~ | A | 
